Year,PDGES ID,NPRI,Company name and facility,NAICS,Town,Province,CO2,CH4,N20,HFC,PFC,SF6,Total
2015,G10465,6627,"Cenovus FCCL Ltd., as operator for FCCL Partnership - Foster Creek SAGD Bitumen Battery (with Cogen)",211114,BONNYVILLE,Alberta,2650515.963,3085.518075,8793.992814,0,0,0,2662395.474
2015,G10475,403,Husky Oil Operations Limited - Lloydminster Refinery,324110,LLOYDMINSTER,Alberta,90919.85281,142.625,401.108,0,0,0,91463.58581
2015,G10476,1439,Husky Oil Operations Limited - Rainbow Lake Gas plant,211113,RAINBOW LAKE,Alberta,50570.50684,2535.9925,254.4026,0,0,0,53360.90194
2015,G10484,1364,Keyera Corp - Gilby Gas Plant,211113,Rimbey,Alberta,65246.31411,2385.08,1627.4972,0,0,0,69258.89131
2015,G10486,4152,Keyera Corp - West Pembina GP,211113,Drayton Valley,Alberta,62045.58415,1440.70005,272.5508,0,0,0,63758.835
2015,G10491,947,Lantic Inc. Taber Factory - Lantic Inc. Taber Beet Sugar Factory,311310,TABER,Alberta,67214.50704,10665.3153,279.0472,0,0,0,78158.86954
2015,G10496,22346,MEG Energy Corp. - MEG Christina Lake Regional Project,211114,REGIONAL MUNICIPALITY OF WOOD BUFFALO,Alberta,932365.2606,5622.6648,4597.3801,0,0,0,942585.3055
2015,G10497,878,Millar Western Forest Products Ltd. - Whitecourt Pulp Divison,322111,WHITECOURT,Alberta,55636.8001,24.75,265.22,0,0,0,55926.7701
2015,G10499,6559,NAL Resources Management - Sylvan Lake Gas Plant 14-32-037-03W5M,211113,Sylvan Lake,Alberta,52254.11297,5254.15015,810.7984,0,0,0,58319.06152
2015,G10529,1753,Keyera Corp - Minnehik Buck Lake Gas Plant,211113,Buck Lake,Alberta,66121.83285,5483.995175,1863.3344,0,0,0,73469.16242
2015,G10531,17698,Peyto Exploration and Development Corporation - Peyto Oldman 11-17-055-21 W5M,211113,EDSON,Alberta,87233.54402,21288.9051,957.5634,0,0,0,109480.0125
2015,G10536,6623,Pembina Pipeline Corporation - Empress NGL Extraction Plant,211113,Medicine Hat,Alberta,73314.11644,4556.0501,491.7,0,0,0,78361.86654
2015,G10555,2227,Keyera Corp - Simonette Gas Plant,211113,Simonette,Alberta,44728.19124,4057.377275,1175.1332,0,0,0,49960.70172
2015,G10557,19181,Suncor Energy Oil Sands Limited Partnership  - Firebag,211114,FT. MCMURRAY,Alberta,4952837.146,6515.688875,31428.12926,0,0,512.886,4991293.85
2015,G10558,2230,Suncor Energy Oil Sands Limited Partnership  - Suncor Energy Inc. Oil Sands,211114,FORT MCMURRAY,Alberta,8406464.057,220081.1522,51196.98527,961.28032,70.08676,876.4776,8679650.039
2015,G10560,18023,Repsol Oil & Gas Canada Inc. - TLM Bigstone West Gas Plant,211113,EDSON,Alberta,45895.29278,2843.30005,290.848,0,0,0,49029.44083
2015,G10561,17996,Repsol Oil & Gas Canada Inc. - TLM Wild River Gas Plant,211113,EDSON,Alberta,54054.29092,11143.85018,356.408,0,0,0,65554.54909
2015,G10563,6504,Tolko Industries Ltd. - Tolko High Level Lumber Division,321111,HIGH LEVEL,Alberta,38621.30957,13176.87313,529.9632,0,0,0,52328.1459
2015,G10566,6678,University of Alberta Heating Plant - Heating Plant,611310,EDMONTON,Alberta,195307.3281,87.035,103.7338,0,0,0,195498.0969
2015,G10576,4830,West Fraser Mills ltd. - Ranger Board,321216,BLUE RIDGE,Alberta,583.590027,2716.500075,27004.7603,0,0,0,30304.8504
2015,G10577,18225,Whitecourt Power Limited Partnership - Whitecourt Electric Power Generating Facility,221119,WHITECOURT,Alberta,535.200211,1290.2125,5472.919,0,0,0,7298.331711
2015,G10586,4591,ADM Agri-Industies Company - ADM AGRI-INDUSTRIES - ADM Lloydminster,311224,LLOYDMINSTER,Alberta,52397.94162,26.2225,295.7352,0,0,0,52719.89932
2015,G10588,4880,Norbord Industries - Grande Prairie OSB Mill,321217,GRANDE PRAIRIE,Alberta,8919.800171,946.500025,1516.82,0,0,0,11383.1202
2015,G10591,,Beaver Regional Waste Management Services Commission - Beaver Regional Waste Landfill,562210,RYLEY,Alberta,14493.96997,77752.38543,208.517454,0,0,0,92454.87285
2015,G10604,24188,Connacher Oil and Gas Limited - Algar,211114,CALGARY,Alberta,278045.078,235.1125,1091.7528,0,0,0,279371.9433
2015,G10606,5239,Veresen Midstream General Partner Inc. - Hythe Brainard Sour Gas Plant,211113,N/A,Alberta,58041.78046,11971.47508,258.366,0,0,0,70271.62154
2015,G10607,23543,Enmax Generation Portfolio Inc - Crossfield Energy Centre,221112,CROSSFIELD,Alberta,41182.19922,78.5,327.8,0,0,0,41588.49922
2015,G10619,24100,MEG Energy Corp. - MEG Christina Lake Cogeneration Facility,211114,REGIONAL MUNICIPALITY OF WOOD BUFFALO,Alberta,1193147.5,550.766525,5855.39306,0,0,0,1199553.66
2015,G10639,24145,Statoil Canada Ltd. - Leismer SAGD Bitumen Battery,211114,N/A,Alberta,479822.2865,1335.52,807.58,0,0,0,481965.3865
2015,G10651,2762,Weyerhaeuser Company Limited - Edson O.S.B.,321217,EDSON,Alberta,13444.98962,179.4,1347.854,0,0,0,14972.24362
2015,G10661,23281,Advantage Oil & Gas Ltd. - Glacier Sour Gas Plant 05-02,211113,n/a,Alberta,67126.92557,22067.25063,514.944,0,0,0,89709.1202
2015,G10668,23432,"Grande Prairie Generation, Inc. - Northern Prairie Thermal Electric Power Plant",221112,SEXSMITH,Alberta,69364.44353,650.5725,331.5548,0,0,0,70346.57083
2015,G10670,25231,DAPP Power LP - DAPP Power LP,221119,WESTLOCK,Alberta,725.086014,503.245,3987.62442,0,0,0,5215.955434
2015,G10671,24465,Devon Canada Corporation - Jackfish 2 SAGD Plant,211114,CONKLIN,Alberta,572925.9679,13556.8499,1041.9272,0,0,0,587524.745
2015,G10686,1782,Methanex Corporation - Methanex Medicine Hat Methanol Plant,325190,Medicine Hat,Alberta,346640.4781,1951.12495,1672.376,0,0,0,350263.9791
2015,G10693,21754,Peyto Exploration and Development Corporation - Peyto Nosehill 11-21-055-20 W5M,211113,EDSON,Alberta,54035.15402,7473.27575,964.130724,0,0,0,62472.56049
2015,G10700,25131,Valley Power LP - Valley Power LP,221119,DRAYTON VALLEY,Alberta,564.900009,1.8,4.768,0,0,0,571.468009
2015,G10709,19876,City of Calgary - Shepard Landfill,562210,CALGARY,Alberta,973,17738.99995,36.0282,0,0,0,18748.02815
2015,G10714,25284,Pembina Pipeline Corporation - Musreau Gas Plant,211113,GREENVIEW NO. 16,Alberta,52134.5184,27609.8257,298,0,0,0,80042.3441
2015,G10723,26148,"PriceWaterhouseCoopers Inc. in its capacity as court appointed Receiver of Southern Pacific Resource Corp., and not in its personal capacity - STP McKay Thermal Project ",211114,Fort McMurray,Alberta,78688.36637,2444.8,398.128,0,0,0,81531.29437
2015,G10727,23257,University of Calgary - Central Heating and Cooling Plant,611310,CALGARY,Alberta,70453.03125,114.25,515.54,825,0,0,71907.82125
2015,G10735,27826,Brion Energy Corporation - MacKay River Commercial Project,211114,FT MCMURRAY,Alberta,16156.96094,2.2475,17.4926,0,0,0,16176.70104
2015,G10744,26109,Canadian Natural Resources Limited - Kirby South 13-21-73-7W4,211114,LAC LA BICHE,Alberta,572968.2896,2707.6999,871.4116,0,0,0,576547.4011
2015,G10746,25229,City of Calgary - Spyhill Landfill,562210,Calgary,Alberta,821,54828.00293,35.76,0,0,0,55684.76293
2015,G10750,27506,Imperial Oil Resources Limited - Kearl Oil Sands Processing Plant and Mine,211114,Fort McKay,Alberta,2267532.696,19039.20053,48593.07081,16.90875,0,0,2335181.876
2015,G10771,26425,Athabasca Oil Corporation - Kaybob East 16-03,211113,Fox Creek,Alberta,18524.8745,5198.209875,31.2006,0,0,0,23754.28498
2015,G10772,26426,Athabasca Oil Corporation - Kaybob West 07-14,211113,Calgary,Alberta,19656.09035,5535.392525,33.227,0,0,0,25224.70987
2015,G10773,26427,Athabasca Oil Corporation - Saxon 10-19,211113,Calgary,Alberta,20133.77625,5434.099925,33.972,0,0,0,25601.84817
2015,G10774,24125,Birchcliff Energy Ltd. - Birchcliff Pouce Coupe 03-22-078-12 W6M Gas Plant,211113,POUCE COUPE,Alberta,70649.5834,17183.99678,522.1258,0,0,0,88355.70597
2015,G10778,28033,Devon Canada Corporation - Jackfish 3 SAGD Plant,211114,CONKLIN,Alberta,569507.8553,2148.39745,999.1046,0,0,0,572655.3574
2015,G10779,28576,Enmax Generation Portfolio Inc - Shepard Energy Centre,221112,Calgary,Alberta,1287828.625,2409.749975,10140.9397,0,0,0,1300379.315
2015,G10787,26618,Paramount Resources Ltd. - Para 08-13-063-05W6 Musreau Gas Plant,211113,FOX CREEK,Alberta,196163.6365,36091.2754,1314.18,0,0,0,233569.0919
2015,G10788,5287,Pembina Pipeline Corporation - Redwater Fractionation and Storage Facility,211113,REDWATER,Alberta,62882.4288,3214.3999,210.984,0,0,0,66307.8127
2015,G10789,27964,Pembina Pipeline Corporation - Saturn Deepcut Gas Plant 12-36,211113,Greenview No. 16,Alberta,81535.25206,8171.7753,581.696,0,0,0,90288.72336
2015,G10790,26264,Peyto Exploration and Development Corporation - Peyto Swanson 12-31-053-19W5M,211113,EDSON,Alberta,42249.12897,10872.20478,356.135032,0,0,0,53477.46877
2015,G10795,25300,Tourmaline Oil Corp - Banshee 15-12-050-21 W5,211113,Yellowhead County,Alberta,56324.90475,2667.907325,4282.856,0,0,0,63275.66808
2015,G10798,18010,Tourmaline Oil Corp - Tourmaline Musreau 02/08-13-062-06-W6 Ggs,211113,Grande Cache,Alberta,61947.60078,7506.17505,4948.886,0,0,0,74402.66183
2015,G10799,18844,Tourmaline Oil Corp - Wild River 14-20-056-23 W5,211113,Hinton,Alberta,61949.78934,4856.30015,5007.89,0,0,0,71813.97949
2015,G10802,27021,AltaGas Ltd. - Gordondale Sour Gas Plant 16-31,211113,n/a,Alberta,85554.21135,22757.40058,654.11,0,0,0,108965.7219
2015,G10804,28963,Athabasca Oil Corporation - AOC Hangingstone SAGD,211114,Fort McMurray,Alberta,171520.5393,2516.987475,307.4764,0,0,0,174345.0032
2015,G10806,27638,Bellatrix Exploration Ltd. - Ferrier Comp Station 13-05,211113,n/a,Alberta,60490.45043,16287.97495,306.344,0,0,0,77084.76938
2015,G10807,698,Keyera Corp - Fort Saskatchewan Plant,211113,FORT SASKATCHEWAN,Alberta,57142.74532,2388.074975,326.8762,0,0,0,59857.69649
2015,G10809,5232,ALIMENT JBS CANADA ULC/ JBS FOOD CANADA ULC - Lakeside Packers,311611,BROOKS,Alberta,53165.13672,227852.7167,7455.97937,0,0,0,288473.8328
2015,G10811,28711,Peyto Exploration and Development Corporation - Petyo Oldman North 14-17-055-21 W5M,211113,EDSON,Alberta,50834.91938,11552.66085,404.36067,0,0,0,62791.9409
2015,G10813,6647,Shell Canada Energy - Shell Canada Energy Muskeg River Mine and Jackpine Mine,211114,FORT MCMURRAY,Alberta,1310339.17,101561.7021,7942.0874,1598.883,0,109.44,1421551.283
2015,G10814,21390,Shell Canada Upstream - Sundance 15-07,211113,SUNDANCE,Alberta,46561.42997,12509.53015,47.1436,0,0,0,59118.10372
2015,G10815,29025,Husky Oil Operations Limited - Sunrise Thermal,211114,FORT MCKAY,Alberta,609664.7844,1827.11995,1194.2946,0,0,0,612686.1989
2015,G10817,29066,Pengrowth Energy Corporation - LINDBERGH SAGD CPF,211114,Lindbergh,Alberta,259254.1957,1567.625025,881.3052,0,0,0,261703.1259
2015,G10818,28212,Crescent Point Resources Partnership - Oungre Oil Battery 03-14,211113,N/A,Alberta,48728.18511,12509.6251,55.13,0,0,0,61292.94021
2015,G10825,26649,Tourmaline Oil Corp - Tourmaline Musreau 02/09-13-062-06-W6,211113,Grande Cache,Alberta,58492.03516,2816.3,4870.214,0,0,0,66178.54916
2015,G10828,1028,Alberta Newsprint Co. - ALBERTA NEWSPRINT,322122,WHITECOURT,Alberta,55132.7511,6083.000125,309.92,0,0,0,61525.67122
2015,G11079,5235,Cargill Foods - Cargill High River Plant,311611,HIGH RIVER,Alberta,28783.51,45015.29793,244.631478,20.23481,0,0,74063.67421
2015,G10045,5357,Cancarb Ltd. - Cancarb Ltd.,325189,MEDICINE HAT,Alberta,150753.4847,339.92,363.56,0,0,3.4656,151460.4303
2015,G11161,15739,Alberta  Health Services - Foothills Medical Centre,622111,CALGARY,Alberta,52320.34,25.6325,289.0302,0,0,0,52635.0027
